10.563,3.338
28.427,8.953
25.979,8.596
5.034,1.611
27.179,9.042
23.304,7.517
5.171,1.629
29.299,9.026
12.943,4.151
16.444,5.373
28.839,8.922
12.297,3.797
23.806,7.331
20.466,6.240
3.618,1.202
29.653,9.691
5.426,1.654
7.372,2.331
24.001,7.817
11.175,3.396
23.479,7.425
26.561,8.057
26.132,8.517
21.841,7.035
24.325,7.734
12.994,4.087
26.755,8.784
23.574,7.445
7.333,2.321
20.236,6.443
6.872,2.273
16.225,5.234
28.466,8.750
11.855,3.934
16.031,5.173
31.334,9.729
17.445,5.580
24.168,7.581
21.709,6.803
24.526,7.510
21.863,6.670
17.660,5.546
4.583,1.509
24.750,8.104
26.448,8.496
18.076,5.975
17.992,5.964
6.699,2.117
19.586,6.441
29.076,9.008
3.541,1.076
24.834,7.746
11.360,3.604
14.606,4.441
16.795,5.425
18.079,5.969
10.907,3.487
17.718,5.552
20.298,6.425
26.855,8.730
22.262,7.290
6.556,2.048
4.117,1.305
19.329,5.880
7.165,2.353
26.479,8.286
6.616,2.057
17.962,5.833
4.316,1.331
12.339,4.101
11.788,3.900
22.659,7.179
4.032,1.265
15.884,5.242
19.642,6.155
17.231,5.713
27.326,8.390
29.885,9.758
26.790,8.492
10.131,3.094
8.396,2.778
26.033,8.113
26.496,8.562
11.718,3.776
30.318,9.918
17.941,5.900
5.149,1.625
6.701,2.129
4.548,1.479
19.789,6.463
24.439,8.079
19.877,6.141
13.696,4.507
8.899,2.831
28.879,9.117
30.324,9.716
15.056,4.659
29.276,9.363
6.041,1.903
30.785,9.658
